Year,Month,Power Source,Total Investment (rmb x 100 million yuan),Cumulative YOY Growth
2013,10,Coal,700,
2011,3,All,612,
2009,12,Hydro,868,
2010,10,All,2689,
2011,7,Coal,568,
2017,5,Nuclear,125.78563,-25.10376859
2011,8,Nuclear,467,
2010,3,Coal,194,
2016,7,Hydro,266,-16.47654769
2015,11,Wind,938,26.8
2013,8,All,2076,
2012,6,All,1461,
2011,6,Wind,282,
2018,2,Nuclear,70,54.4
2017,2,All,232.580524,-26.50937965
2010,5,Hydro,234,
2013,12,Wind,631,3.87
2013,7,Hydro,749,
2015,3,All,546,15.4
2015,4,Hydro,173,-8.9
2016,2,All,316,-21.5
2010,7,Coal,632,
2013,9,Hydro,917,
2015,11,Nuclear,419,-10.9
2011,6,Nuclear,339,
2013,2,All,385,
2009,12,Nuclear,576,
2013,6,Hydro,513,
2014,12,Nuclear,569,-13.8
2012,9,Nuclear,519,
2011,10,Wind,550,
2013,7,Wind,244,
2010,9,Coal,868,
2014,10,Nuclear,426,-6.9
2010,3,Hydro,111,
2014,2,Coal,85,
2012,3,All,724,
2012,5,Wind,143,
2017,2,Nuclear,45.454306,-13.45235918
2017,10,All,1977.3345,-17.19904841
2018,4,Coal,163,7.1
2018,6,All,970,-7.3
2012,12,All,3772,-3.9
2018,3,Wind,66,-1.7
2011,12,All,3712,-0.06
2013,12,Hydro,1246,0.59
2013,10,Hydro,988,
2011,9,Wind,477,
2016,2,Wind,68,-19.3
2013,3,All,618,
2014,3,Nuclear,107,
2012,2,All,451,
2016,12,Coal,1173.890671,0.907435761
2012,8,Coal,544,
2013,11,Wind,490,
2012,6,Wind,177,
2017,11,Nuclear,336.24,-12.89073518
2016,4,Coal,190,-15.24515181
2018,8,Nuclear,167,-31
2011,11,Nuclear,656,
2013,3,Nuclear,121,
2014,10,All,2457,-7.6
2008,12,Coal,1563,
2011,3,Hydro,155,
2010,2,Nuclear,78,
2012,8,Nuclear,437,
2014,8,Coal,477,
2011,12,Coal,1054,-0.26
2009,11,Hydro,658,
2016,10,Hydro,506.058455,1.078685399
2017,2,Coal,77.773812,-9.455446434
2018,4,All,550,5.2
2015,4,Coal,225,11
2016,2,Nuclear,53,-4
2018,9,Wind,346,-12.9
2018,10,Nuclear,341,8.5
2010,2,Coal,123,
2010,12,Coal,1311,
2017,8,Coal,423.6776,-23.26061606
2014,10,Hydro,665,-32.7
2016,11,Nuclear,385.997977,-7.888229665
2014,4,Wind,106,
2016,4,Wind,143,-31.86322351
2010,10,Coal,997,
2009,11,Nuclear,479,
2011,7,All,1768,
2011,9,Coal,742,
2010,6,Nuclear,258,
2015,11,Hydro,604,-23.1
2016,12,Nuclear,505.725414,-10.50379256
2013,8,Wind,294,
2012,3,Wind,128,
2011,2,Nuclear,92,
2015,5,Hydro,223,-11
2015,8,Nuclear,546,
2011,8,Coal,660,
2018,11,Nuclear,378,12.3
2011,12,Wind,829,-0.2
2018,2,Coal,76,-2.6
2015,2,Coal,152,79
2017,10,Wind,470.8001,-13.99654744
2015,6,Wind,397,43.7
2018,3,All,424,10.5
2009,10,Coal,1008,
2013,11,Hydro,1098,
2010,11,Coal,1111,
2010,7,All,1668,
2011,2,Coal,122,
2014,8,All,1722,
2010,7,Nuclear,299,
2010,11,Wind,730,
2014,5,Coal,271,
2010,11,Hydro,678,
2010,3,Wind,65,
2014,6,Coal,355,
2010,9,All,2311,
2014,8,Wind,444,
2017,8,Nuclear,242.4842,-15.75658072
2013,3,Wind,73,
2017,4,Coal,152.582792,-19.98062327
2017,4,Nuclear,100.810168,-21.89048786
2016,9,All,1989,-10.86240966
2012,4,Coal,208,
2015,12,Wind,1159,26.6
2017,4,All,522.535971,-21.18173397
2009,8,Wind,292,
2015,3,Nuclear,95,-11.3
2015,3,Hydro,133,-13.5
2013,4,Coal,225,
2014,6,Hydro,334,
2012,5,Coal,295,
2009,10,Hydro,505,
2009,7,Coal,2346,
2017,9,Coal,495.5485,-24.99830135
2016,3,Coal,126,-19.5
2012,9,Wind,343,
2009,11,Wind,493,
2007,12,All,3041,
2009,9,Wind,345,
2016,2,Hydro,86,-43.5
2015,7,All,1586,7.7
2012,6,Hydro,553,
2013,6,Coal,384,
2011,9,Nuclear,532,
2014,11,Nuclear,470,-10.4
2011,10,All,2760,
2014,10,Coal,659,-5.9
2009,9,All,1997,
2014,4,All,658,
2013,6,All,1405,
2008,12,All,2878,
2010,4,All,748,
2011,7,Wind,339,
2011,4,All,867,
2011,10,Hydro,708,
2010,3,All,480,
2017,10,Coal,572.7531,-25.29332077
2008,12,Hydro,705,
2014,7,All,1473,
2014,11,Coal,783,-1
2018,8,All,1302,-10.9
2015,6,Coal,405,14.1
2010,10,Nuclear,475,
2012,2,Hydro,163,
2011,8,Hydro,542,
2014,6,Wind,276,
2015,6,Hydro,276,-17.2
2013,9,Nuclear,409,
2013,11,All,3076,
2008,12,Wind,321,
2013,8,Hydro,828,
2010,2,All,347,
2009,10,Wind,381,
2011,4,Hydro,296,
2016,10,Wind,547.420017,-29.36192998
2016,11,Wind,685.111804,-26.98190028
2017,6,All,1046.175738,-13.5406703
2017,7,Nuclear,214.9746,-16.1738638
2017,8,All,1461.3786,-14.24677762
2017,11,Coal,674.1024,-27.36642778
2018,2,Hydro,53,-7.8
2018,6,Coal,295,-5.5
2014,9,All,2113,
2014,2,Hydro,99,
2015,5,Wind,270,48.6
2013,2,Wind,50,
2014,5,Nuclear,186,
2018,3,Coal,113,-5.7
2018,5,Wind,132,-6.5
2015,8,Hydro,790,
2015,7,Nuclear,238,-13.7
2017,7,All,1254.5589,-13.6926413
2017,3,All,384.008691,-17.29954482
2015,10,Hydro,501,-24.7
2010,8,All,1966,
2011,8,All,2098,
2015,8,Coal,3082,
2017,3,Wind,67.353748,-34.00637209
2017,9,Wind,397.0516,-14.09157238
2018,7,Wind,242,-5.1
2012,11,Hydro,1028,
2013,4,Nuclear,158,
2012,4,Nuclear,205,
2013,8,Coal,524,
2014,4,Coal,203,
2015,4,Nuclear,126,-11.6
2016,11,All,2688.877365,-12.67328572
2018,5,Coal,219,-16.2
2018,11,Hydro,569,15.7
2015,7,Hydro,319,-17.6
2016,5,Nuclear,167,6.259288824
2014,3,Hydro,153,
2018,7,Coal,381,1.8
2010,2,Hydro,97,
2011,4,Coal,294,
2017,7,Coal,373.9659,-19.33856962
2014,8,Nuclear,312,
2009,8,All,2002,
2010,2,Wind,47,
2011,4,Wind,144,
2010,12,Hydro,791,
2014,4,Hydro,190,
2011,11,Coal,915,
2012,9,Hydro,821,
2013,9,All,2386,
2017,5,Wind,141.59495,-25.45340687
2016,10,Nuclear,374.973549,1.869454832
2012,12,Hydro,1277,31.5
2016,6,Nuclear,217,5.1
2018,9,Nuclear,310,4.8
2016,8,All,1704,-11.37530911
2009,8,Nuclear,312,
2014,6,All,1227,
2014,11,Wind,740,51.2
2014,12,Coal,952,-6.3
2009,12,Wind,758,
2014,12,All,3646,-5.8
2015,10,Wind,775,21.8
2013,5,Coal,300,
2010,3,Nuclear,108,
2014,11,Hydro,785,-28.5
2013,12,All,3717,-0.4
2015,7,Wind,473,32.8
2011,5,Wind,191,
2012,11,Wind,495,
2010,6,Hydro,295,
2016,3,Nuclear,90,-5.7
2014,9,Wind,540,
2011,8,Wind,397,
2012,5,Hydro,444,
2014,9,Nuclear,378,
2012,3,Nuclear,171,
2017,2,Wind,37.558887,-45.02924674
2017,11,All,2328.8275,-13.39034162
2018,6,Hydro,223,4.1
2013,4,Hydro,328,
2018,10,Wind,395,-16.2
2016,5,Coal,273,-8.223891252
2016,7,Coal,463,-7.168838443
2017,3,Nuclear,78.618094,-12.47145358
2017,7,Hydro,253.9025,-4.61828531
2017,8,Hydro,285.2144,-8.0249619
2009,10,All,2323,
2012,3,Hydro,276,
2011,12,Hydro,940,0.15
2014,3,Wind,60,
2010,6,All,1344,
2011,10,Nuclear,600,
2014,10,Wind,636,62.2
2011,9,Hydro,635,
2015,2,All,403,42
2014,5,Hydro,251,
2009,7,Hydro,950,
2013,4,All,849,
2017,2,Hydro,57.357189,-31.3602848
2017,3,Coal,120.014617,-4.982916346
2016,6,All,1210,-8.7
2011,7,Hydro,456,
2018,5,All,726,-5.4
2018,10,Hydro,472,20.5
2016,2,Hydro,84,-12.7
2014,9,Hydro,572,
2016,3,Hydro,106,-20.5
2011,11,Hydro,782,
2015,5,Nuclear,158,-15
2010,5,Wind,198,
2010,12,Wind,891,
2012,7,Coal,479,
2013,12,Coal,928,-7.41
2015,10,Coal,843,28
2010,8,Hydro,402,
2010,5,Nuclear,196,
2013,4,Wind,116,
2017,4,Hydro,134.417503,-3.549164635
2017,5,Coal,261.684793,-4.29741325
2017,10,Nuclear,314.7987,-16.04774737
2015,11,All,3079,6.7
2015,6,All,1321,7.6
2010,9,Nuclear,432,
2018,5,Nuclear,152,20.7
2013,5,Wind,147,
2016,8,Hydro,310,-19.13285884
2010,11,All,3077,
2009,7,Wind,257,
2013,2,Hydro,163,
2009,10,Nuclear,422,
2011,10,Coal,818,
2011,4,Nuclear,199,
2014,2,All,284,
2013,7,Coal,442,
2017,7,Wind,254.5389,-18.31767546
2018,6,Nuclear,204,11.6
2014,7,Nuclear,276,
2012,4,All,899,
2015,8,All,6074,
2012,2,Wind,96,
2008,12,Nuclear,281,
2018,11,Coal,672,-0.3
2015,6,Nuclear,203,-14.9
2015,4,Wind,211,99.6
2009,8,Hydro,681,
2017,10,Hydro,392.1652,-22.50595534
2012,11,Coal,794,
2013,9,Coal,632,
